name,vendor,colors,price,url,category
Silencr Bomber Jacket,KUHL,,63.83,https://www.rei.com/product/142281/kuhl-silencr-bomber-jacket-mens,mens-casual-jackets
Wildest Lightweight Jacket,REI Co-op,['Asphalt'],58.83,https://www.rei.com/product/163780/rei-co-op-wildest-lightweight-jacket-mens,mens-casual-jackets
Classic Retro-X Jacket,Patagonia,,199,https://www.rei.com/product/103068/patagonia-classic-retro-x-jacket-mens,mens-casual-jackets
Eco Mountain Jacket,The North Face,,279,https://www.rei.com/product/158079/the-north-face-eco-mountain-jacket-mens,mens-casual-jackets
South Canyon Down Parka,Columbia,['Black'],195.99,https://www.rei.com/product/176898/columbia-south-canyon-down-parka-mens,mens-casual-jackets
Thorsen Insulated Parka,Arc'teryx,"['Black', 'Hieroglyph']",849,https://www.rei.com/product/175337/arcteryx-thorsen-insulated-parka-mens,mens-casual-jackets
Teca Fleece Full-Zip Jacket,Cotopaxi,['Gravity'],100,https://www.rei.com/product/176876/cotopaxi-teca-fleece-full-zip-jacket-mens,mens-casual-jackets
Singi Wool Padded Insulated Parka,Fjallraven,['Black'],450,https://www.rei.com/product/155868/fjallraven-singi-wool-padded-insulated-parka-mens,mens-casual-jackets
Prologue Dorval Insulated Parka,Outdoor Research,"['Black', 'Forest']",299,https://www.rei.com/product/155638/outdoor-research-prologue-dorval-insulated-parka-mens,mens-casual-jackets
Active Pursuits Full-Zip Hoodie,REI Co-op,,29.99,https://www.rei.com/product/140975/rei-co-op-active-pursuits-full-zip-hoodie-mens,mens-casual-jackets
Organic Cotton Quilt Hoodie,Patagonia,,169,https://www.rei.com/product/145112/patagonia-organic-cotton-quilt-hoodie-mens,mens-casual-jackets
Yupik Insulated Parka,Fjallraven,"['Dusk', 'Black']",500,https://www.rei.com/product/123625/fjallraven-yupik-insulated-parka-mens,mens-casual-jackets
Covert Cardigan,Arc'teryx,,179,https://www.rei.com/product/155553/arcteryx-covert-cardigan-mens,mens-casual-jackets
Tres 3-in-1 Parka,Patagonia,['Black'],599,https://www.rei.com/product/154164/patagonia-tres-3-in-1-parka-mens,mens-casual-jackets
Teca Windbreaker Half-Zip Jacket,Cotopaxi,,59.93,https://www.rei.com/product/130420/cotopaxi-teca-windbreaker-half-zip-jacket,mens-casual-jackets
Skyline Ridge Jacket,REI Co-op,['Black'],88.93,https://www.rei.com/product/144394/rei-co-op-skyline-ridge-jacket-mens,mens-casual-jackets
Law Fleece-Lined Hoodie,KUHL,['Espresso'],169,https://www.rei.com/product/175741/kuhl-law-fleece-lined-hoodie-mens,mens-casual-jackets
Arktik Down Parka,KUHL,"['Olive', 'Blackout']",499,https://www.rei.com/product/102072/kuhl-arktik-down-parka-mens,mens-casual-jackets
